;snr;psnr;nmse;ssim;ncc;reduce;model;dataset;epoch;model name;learning rate;batch size;dataset name
0;0.5563490670595089;-11.10889622937592;0.8820967961021566;0.8362284061056133;0.6772348933273024;mean;ROBUST;test;0;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
1;0.5506173569165294;-11.490859824316903;0.8809236400698526;0.8331821206440582;0.6826637068972721;median;ROBUST;test;0;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
2;0.5606217316463512;-11.176749675530072;0.87990579459126;0.8359140044943729;0.674272380108715;mean;ROBUST;train;0;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
3;0.5478601597946364;-11.483450674514849;0.8814830887432027;0.8372036254878874;0.675760739695982;median;ROBUST;train;0;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
4;13.310700783256534;-1.2412473255811352;0.3028896330313808;0.834328698921782;0.9615959410690426;mean;ROBUST;test;100;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
5;13.833980972612466;-1.075597162081213;0.041362134185493414;0.8894344472697789;0.9791788925874912;median;ROBUST;test;100;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
6;13.762169121213326;-0.7966431704228167;0.07367558681108471;0.8565508746304142;0.9719898941785404;mean;ROBUST;train;100;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
7;14.013241577143223;-0.7597976671838427;0.039689556864732245;0.8963717064788679;0.9800175695955728;median;ROBUST;train;100;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
8;13.43827544928041;-1.2007528750851013;0.29008784538869103;0.8426659686374623;0.9638279132357583;mean;ROBUST;test;200;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
9;13.865109130779224;-0.9870384750151426;0.04106666517835872;0.893962533211893;0.9795746047468199;median;ROBUST;test;200;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
